|Title|Artist
438|Evergreen (Love Theme from A Star Is Born)|Barbra Streisand
439|Rich Girl|Daryl Hall and John Oates
440|Dancing Queen|ABBA
441|Don't Give Up on Us|David Soul
442|Don't Leave Me This Way|Thelma Houston
443|Southern Nights|Glen Campbell
444|Hotel California|Eagles
445|When I Need You|Leo Sayer
446|Sir Duke|Stevie Wonder
447|I'm Your Boogie Man|KC and the Sunshine Band
448|Dreams|Fleetwood Mac
449|Got to Give It Up|Marvin Gaye
450|Gonna Fly Now (Theme From Rocky)|Bill Conti
451|Undercover Angel|Alan O'Day
452|Da Doo Ron Ron|Shaun Cassidy
453|Looks Like We Made It|Barry Manilow
454|I Just Want to Be Your Everything|Andy Gibb
455|Best of My Love|The Emotions
456|I Just Want to Be Your Everything|Andy Gibb
457|Best of My Love|The Emotions
458|Star Wars Theme/Cantina Band|Meco
459|You Light Up My Life|Debby Boone
460|How Deep Is Your Love|Bee Gees
461|How Deep Is Your Love|Bee Gees
462|Baby Come Back|Player
463|Stayin' Alive|Bee Gees
464|(Love Is) Thicker Than Water|Andy Gibb
465|Night Fever|Bee Gees
466|If I Can't Have You|Yvonne Elliman
467|With a Little Luck|Wings
468|Too Much, Too Little, Too Late|Johnny Mathis and Deniece Williams
469|You're the One That I Want|John Travolta and Olivia Newton-John
470|Shadow Dancing|Andy Gibb
471|Miss You|The Rolling Stones
472|Three Times a Lady|Commodores
473|Grease|Frankie Valli
474|Boogie Oogie Oogie|A Taste of Honey
475|Kiss You All Over|Exile
476|Hot Child in the City|Nick Gilder
477|You Needed Me|Anne Murray
478|MacArthur Park|Donna Summer
479|You Don't Bring Me Flowers|Barbra Streisand and Neil Diamond
480|Le Freak|Chic
481|You Don't Bring Me Flowers|Barbra Streisand and Neil Diamond
482|Le Freak|Chic
483|Too Much Heaven|Bee Gees
484|Le Freak|Chic
485|Da Ya Think I'm Sexy?|Rod Stewart
486|I Will Survive|Gloria Gaynor
487|Tragedy|Bee Gees
488|I Will Survive|Gloria Gaynor
489|What a Fool Believes|The Doobie Brothers
490|Knock on Wood|Amii Stewart
491|Heart of Glass|Blondie
492|Reunited|Peaches & Herb
493|Hot Stuff|Donna Summer
494|Love You Inside Out|Bee Gees
495|Hot Stuff|Donna Summer
496|Ring My Bell|Anita Ward
497|Bad Girls|Donna Summer
498|Good Times|Chic
499|My Sharona|The Knack
500|Sad Eyes|Robert John
501|Don't Stop 'Til You Get Enough|Michael Jackson
502|Rise|Herb Alpert
503|Pop Muzik|M
504|Heartache Tonight|Eagles
505|Still|Commodores
506|No More Tears (Enough Is Enough)|Barbra Streisand and Donna Summer
507|Babe|Styx
508|Escape (The Piña Colada Song)|Rupert Holmes
509|Please Don't Go|KC and the Sunshine Band
510|Escape (The Piña Colada Song)|Rupert Holmes
511|Rock with You|Michael Jackson
512|Do That to Me One More Time|Captain & Tennille
513|Crazy Little Thing Called Love|Queen
514|Another Brick in the Wall, Part II|Pink Floyd
515|Call Me|Blondie
516|Funkytown|Lipps Inc.
517|Coming Up|Paul McCartney
518|It's Still Rock and Roll to Me|Billy Joel
